,RandomForestClassifier(),SVC(),GaussianNB(),KNeighborsClassifier(),LogisticRegression(),LGBMClassifier(verbosity=-1),"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)",MLPClassifier(),pairs_num
acc,0.8380952380952381,0.85,0.7880952380952381,0.8285714285714286,0.8357142857142857,0.8452380952380952,0.8452380952380952,0.8452380952380952,10
precision_weighted,0.8617471089683122,0.8708568142610696,0.8563134285692549,0.8578492577580252,0.8620743827835896,0.8678779354113865,0.8678779354113865,0.8678779354113865,10
precision_macro,0.8257061628760088,0.8366302472685452,0.8024126360959576,0.8188121521758964,0.8245844669516906,0.8325376970921026,0.8325376970921026,0.8325376970921026,10
f1_weighted,0.8415555112248682,0.8530902961199913,0.7927264844200852,0.8324436974789916,0.8393341519345141,0.8485078485078484,0.8485078485078484,0.8485078485078484,10
f1_macro,0.8310099169250431,0.8429477857774559,0.7854079717092158,0.8221176470588236,0.8290376435747533,0.8382998382998383,0.8382998382998383,0.8382998382998383,10
recall_weighted,0.8380952380952381,0.85,0.7880952380952381,0.8285714285714286,0.8357142857142857,0.8452380952380952,0.8452380952380952,0.8452380952380952,10
recall_macro,0.8551144885511448,0.8658384161583841,0.8311918808119187,0.8494150584941507,0.8548895110488951,0.8621887811218878,0.8621887811218878,0.8621887811218878,10
acc,0.8928571428571429,0.9,0.8476190476190476,0.8857142857142857,0.8952380952380953,0.8904761904761904,0.888095238095238,0.8976190476190476,20
precision_weighted,0.8966050817059276,0.9048999904297063,0.8826255411255411,0.8962852320222913,0.9011628012485482,0.8975054323028898,0.8936790605096447,0.9012909089031405,20
precision_macro,0.8781536904503724,0.8853000287108814,0.8411363636363636,0.8702644411102776,0.8800971798780488,0.8750118584574518,0.8726576114201141,0.8832140533506831,20
f1_weighted,0.8938387795749523,0.9010936431989064,0.8511815332016124,0.8875401472668876,0.8965005941512333,0.8919122544122543,0.8893822052617512,0.898557056038288,20
f1_macro,0.8841734334303661,0.8923444976076556,0.8427371229318293,0.8785512903925395,0.887522824102252,0.8827214452214451,0.879692099537418,0.8893212808334611,20
recall_weighted,0.8928571428571429,0.9,0.8476190476190476,0.8857142857142857,0.8952380952380953,0.8904761904761904,0.888095238095238,0.8976190476190476,20
recall_macro,0.8922857714228577,0.9025597440255975,0.8752124787521247,0.8948105189481053,0.8989101089891011,0.8952604739526047,0.8902359764023597,0.8975352464753525,20
acc,0.9095238095238095,0.9047619047619048,0.8523809523809524,0.9071428571428571,0.8952380952380953,0.888095238095238,0.8976190476190476,0.8976190476190476,30
precision_weighted,0.9112944699410865,0.9065846434267487,0.8852345852345853,0.9092478914876968,0.902167951897579,0.8927656138836263,0.900529805295977,0.9039894745777097,30
precision_macro,0.8971291866028708,0.8920027341079972,0.8447993447993448,0.8942787583688375,0.8799924105872308,0.8728386771865033,0.8835944879029329,0.8825311942959002,30
f1_weighted,0.9100599647266314,0.9053262786596119,0.8558001107419712,0.9077558416903457,0.8966117216117216,0.8892544229161374,0.8984288532604258,0.8989078407212483,30
