,RandomForestClassifier(),SVC(),GaussianNB(),KNeighborsClassifier(),LogisticRegression(),LGBMClassifier(verbosity=-1),"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=None, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",MLPClassifier(),pairs_num
acc,0.4380952380952381,0.4357142857142857,0.20238095238095238,0.4357142857142857,0.4380952380952381,0.4357142857142857,0.4357142857142857,0.4380952380952381,10
precision_weighted,0.6260893328307576,0.22045225116091258,0.5091154667671818,0.22045225116091258,0.6279432555748344,0.22045225116091258,0.4243107769423559,0.6279432555748344,10
precision_macro,0.4665171503957783,0.2709872804360993,0.4195389529232051,0.2709872804360993,0.47118758434547914,0.2709872804360993,0.3710526315789474,0.47118758434547914,10
f1_weighted,0.28490864801496035,0.28059059400886455,0.11752205740905382,0.28059059400886455,0.28568848137491315,0.28059059400886455,0.28445517902538936,0.28568848137491315,10
f1_macro,0.3076735667433342,0.30745952339880234,0.24119387889967303,0.30745952339880234,0.3099943384937637,0.30745952339880234,0.3073151405294044,0.3099943384937637,10
recall_weighted,0.4380952380952381,0.4357142857142857,0.20238095238095238,0.4357142857142857,0.4380952380952381,0.4357142857142857,0.4357142857142857,0.4380952380952381,10
recall_macro,0.3997997276295762,0.39863013698630134,0.39590643274853804,0.39863013698630134,0.3997997276295762,0.39863013698630134,0.39453656973483936,0.3997997276295762,10
acc,0.44047619047619047,0.4357142857142857,0.20238095238095238,0.4976190476190476,0.44047619047619047,0.4357142857142857,0.4357142857142857,0.4357142857142857,20
precision_weighted,0.6282932400346648,0.22045225116091258,0.5091154667671818,0.27088969648024763,0.6282932400346648,0.22045225116091258,0.4243107769423559,0.6275340582427196,20
precision_macro,0.47138894526757324,0.2709872804360993,0.4195389529232051,0.28463557439935394,0.47138894526757324,0.2709872804360993,0.3710526315789474,0.4708523276695676,20
f1_weighted,0.2907330232846335,0.28059059400886455,0.11752205740905382,0.3415527278104918,0.2907330232846335,0.28059059400886455,0.28445517902538936,0.2841188763577449,20
f1_macro,0.31250306533543526,0.30745952339880234,0.24119387889967303,0.32131564088085823,0.31250306533543526,0.30745952339880234,0.3073151405294044,0.30711934949681696,20
recall_weighted,0.44047619047619047,0.4357142857142857,0.20238095238095238,0.4976190476190476,0.44047619047619047,0.4357142857142857,0.4357142857142857,0.4357142857142857,20
recall_macro,0.4009693182728511,0.39863013698630134,0.39590643274853804,0.4,0.4009693182728511,0.39863013698630134,0.39453656973483936,0.39453656973483936,20
acc,0.48333333333333334,0.4714285714285714,0.24523809523809523,0.5333333333333333,0.48333333333333334,0.48095238095238096,0.4785714285714286,0.5333333333333333,30
precision_weighted,0.6754909442409442,0.2664300976800977,0.5497766585266586,0.3190784995065817,0.6754909442409442,0.6751030959652843,0.5936134744756629,0.3190784995065817,30
precision_macro,0.6629273504273504,0.4618238496663154,0.6079273504273505,0.4760704250087812,0.6629273504273504,0.6627042048440941,0.6225692520775624,0.4760704250087812,30
f1_weighted,0.34947772587295783,0.32439521263050675,0.17102397125926536,0.3868977509592711,0.34947772587295783,0.3445638986453466,0.3432522103336583,0.3868977509592711,30
f1_macro,0.4998613279303816,0.4873761210586351,0.4282248879895939,0.501485125936399,0.4998613279303816,0.4974144648714785,0.4946967615221961,0.501485125936399,30
